Nom_Commune;INSEE_Commune;INSEE_Département;Nom_Département;Alea_sismique;Zone_neige;Zone_vent
L'ABERGEMENT-CLEMENCIAT;1001;1;AIN;Zone 2;A2;2
L'ABERGEMENT-DE-VAREY;1002;1;AIN;Zone 3;C2;1
AMBERIEU-EN-BUGEY;1004;1;AIN;Zone 3;C2;1
AMBERIEUX-EN-DOMBES;1005;1;AIN;Zone 2;A2;2
AMBLEON;1006;1;AIN;Zone 3;C2;1
AMBRONAY;1007;1;AIN;Zone 3;C2;1
AMBUTRIX;1008;1;AIN;Zone 3;C2;1
ANDERT-ET-CONDON;1009;1;AIN;Zone 3;C2;1
ANGLEFORT;1010;1;AIN;Zone 3;C2;1
APREMONT;1011;1;AIN;Zone 3;C2;1
ARANC;1012;1;AIN;Zone 3;C2;1
ARANDAS;1013;1;AIN;Zone 3;C2;1
ARBENT;1014;1;AIN;Zone 3;C2;1
ARBIGNIEU;1015;1;AIN;Zone 3;C2;1
ARBIGNY;1016;1;AIN;Zone 2;A2;2
ARGIS;1017;1;AIN;Zone 3;C2;1
ARMIX;1019;1;AIN;Zone 3;C2;1
ARS-SUR-FORMANS;1021;1;AIN;Zone 2;A2;2
ARTEMARE;1022;1;AIN;Zone 3;C2;1
ASNIERES-SUR-SAONE;1023;1;AIN;Zone 2;A2;2
ATTIGNAT;1024;1;AIN;Zone 2;A2;2
BAGE-LA-VILLE;1025;1;AIN;Zone 2;A2;2
BAGE-LE-CHATEL;1026;1;AIN;Zone 2;A2;2
BALAN;1027;1;AIN;Zone 3;A2;2
BANEINS;1028;1;AIN;Zone 2;A2;2
BEAUPONT;1029;1;AIN;Zone 3;A2;2
BEAUREGARD;1030;1;AIN;Zone 2;A2;2
BELLIGNAT;1031;1;AIN;Zone 3;C2;1
BELIGNEUX;1032;1;AIN;Zone 3;A2;2
BELLEGARDE-SUR-VALSERINE;1033;1;AIN;Zone 3;C2;1
BELLEY;1034;1;AIN;Zone 3;C2;1
BELLEYDOUX;1035;1;AIN;Zone 3;C2;1
BELMONT-LUTHEZIEU;1036;1;AIN;Zone 3;C2;1
BENONCES;1037;1;AIN;Zone 3;C2;1
BENY;1038;1;AIN;Zone 3;A2;2
BEON;1039;1;AIN;Zone 3;C2;1
BEREZIAT;1040;1;AIN;Zone 2;A2;2
BETTANT;1041;1;AIN;Zone 3;C2;1
BEY;1042;1;AIN;Zone 2;A2;2
BEYNOST;1043;1;AIN;Zone 2;A2;2
BILLIAT;1044;1;AIN;Zone 3;C2;1
BIRIEUX;1045;1;AIN;Zone 2;A2;2
BIZIAT;1046;1;AIN;Zone 2;A2;2
BLYES;1047;1;AIN;Zone 3;C2;1
LA BOISSE;1049;1;AIN;Zone 3;A2;2
BOISSEY;1050;1;AIN;Zone 2;A2;2
BOLOZON;1051;1;AIN;Zone 3;C2;1
BOULIGNEUX;1052;1;AIN;Zone 2;C2;2
BOURG-EN-BRESSE;1053;1;AIN;Zone 3;A2;1
BOURG-SAINT-CHRISTOPHE;1054;1;AIN;Zone 3;A2;2
BOYEUX-SAINT-JEROME;1056;1;AIN;Zone 3;C2;1
BOZ;1057;1;AIN;Zone 2;A2;2
BREGNIER-CORDON;1058;1;AIN;Zone 3;C2;1
BRENAZ;1059;1;AIN;Zone 3;C2;1
BRENOD;1060;1;AIN;Zone 3;C2;1
BRENS;1061;1;AIN;Zone 3;C2;1
BRESSOLLES;1062;1;AIN;Zone 3;A2;2
BRION;1063;1;AIN;Zone 3;C2;1
BRIORD;1064;1;AIN;Zone 3;C2;1
BUELLAS;1065;1;AIN;Zone 2;A2;1
LA BURBANCHE;1066;1;AIN;Zone 3;C2;1
CEIGNES;1067;1;AIN;Zone 3;C2;1
CERDON;1068;1;AIN;Zone 3;C2;1
CERTINES;1069;1;AIN;Zone 3;A2;1
CESSY;1071;1;AIN;Zone 3;C2;1
CEYZERIAT;1072;1;AIN;Zone 3;C2;1
CEYZERIEU;1073;1;AIN;Zone 3;C2;1
CHALAMONT;1074;1;AIN;Zone 3;A2;2
CHALEINS;1075;1;AIN;Zone 2;A2;2
CHALEY;1076;1;AIN;Zone 3;C2;1
CHALLES-LA-MONTAGNE;1077;1;AIN;Zone 3;C2;1
CHALLEX;1078;1;AIN;Zone 3;C2;1
CHAMPAGNE-EN-VALROMEY;1079;1;AIN;Zone 3;C2;1
CHAMPDOR;1080;1;AIN;Zone 3;C2;1
CHAMPFROMIER;1081;1;AIN;Zone 3;C2;1
CHANAY;1082;1;AIN;Zone 3;C2;1
CHANEINS;1083;1;AIN;Zone 2;A2;2
CHANOZ-CHATENAY;1084;1;AIN;Zone 2;A2;2
LA CHAPELLE-DU-CHATELARD;1085;1;AIN;Zone 2;A2;2
CHARIX;1087;1;AIN;Zone 3;C2;1
CHARNOZ-SUR-AIN;1088;1;AIN;Zone 3;A2;2
CHATEAU-GAILLARD;1089;1;AIN;Zone 3;C2;1
CHATENAY;1090;1;AIN;Zone 3;A2;2
CHATILLON-EN-MICHAILLE;1091;1;AIN;Zone 3;C2;1
CHATILLON-LA-PALUD;1092;1;AIN;Zone 3;A2;2
CHATILLON-SUR-CHALARONNE;1093;1;AIN;Zone 2;A2;2
CHAVANNES-SUR-REYSSOUZE;1094;1;AIN;Zone 2;C2;2
CHAVANNES-SUR-SURAN;1095;1;AIN;Zone 3;C2;1
CHAVEYRIAT;1096;1;AIN;Zone 2;A2;2
CHAVORNAY;1097;1;AIN;Zone 3;C2;1
CHAZEY-BONS;1098;1;AIN;Zone 3;C2;1
CHAZEY-SUR-AIN;1099;1;AIN;Zone 3;C2;1
CHEIGNIEU-LA-BALME;1100;1;AIN;Zone 3;C2;1
CHEVILLARD;1101;1;AIN;Zone 3;C2;1
CHEVROUX;1102;1;AIN;Zone 2;A2;2
CHEVRY;1103;1;AIN;Zone 3;C2;1
CHEZERY-FORENS;1104;1;AIN;Zone 3;C2;1
CIVRIEUX;1105;1;AIN;Zone 2;A2;2
CIZE;1106;1;AIN;Zone 3;C2;1
CLEYZIEU;1107;1;AIN;Zone 3;C2;1
COLIGNY;1108;1;AIN;Zone 3;A2;2
COLLONGES;1109;1;AIN;Zone 3;C2;1
COLOMIEU;1110;1;AIN;Zone 3;C2;1
CONAND;1111;1;AIN;Zone 3;C2;1
CONDAMINE;1112;1;AIN;Zone 3;C2;1
CONDEISSIAT;1113;1;AIN;Zone 2;A2;2
CONFORT;1114;1;AIN;Zone 3;C2;1
CONFRANCON;1115;1;AIN;Zone 2;A2;2
CONTREVOZ;1116;1;AIN;Zone 3;C2;1
CONZIEU;1117;1;AIN;Zone 3;C2;1
CORBONOD;1118;1;AIN;Zone 3;C2;1
CORCELLES;1119;1;AIN;Zone 3;C2;1
CORLIER;1121;1;AIN;Zone 3;C2;1
CORMARANCHE-EN-BUGEY;1122;1;AIN;Zone 3;C2;1
CORMORANCHE-SUR-SAONE;1123;1;AIN;Zone 2;A2;2
CORMOZ;1124;1;AIN;Zone 2;A2;2
CORVEISSIAT;1125;1;AIN;Zone 3;C2;1
COURMANGOUX;1127;1;AIN;Zone 3;C2;1
COURTES;1128;1;AIN;Zone 2;A2;2
CRANS;1129;1;AIN;Zone 3;A2;2
CRAS-SUR-REYSSOUZE;1130;1;AIN;Zone 2;A2;2
CRESSIN-ROCHEFORT;1133;1;AIN;Zone 3;C2;1
CROTTET;1134;1;AIN;Zone 2;A2;2
CROZET;1135;1;AIN;Zone 3;C2;1
CRUZILLES-LES-MEPILLAT;1136;1;AIN;Zone 2;A2;2
CULOZ;1138;1;AIN;Zone 3;C2;1
CURCIAT-DONGALON;1139;1;AIN;Zone 2;A2;2
CURTAFOND;1140;1;AIN;Zone 2;A2;2
CUZIEU;1141;1;AIN;Zone 3;C2;1
DAGNEUX;1142;1;AIN;Zone 3;A2;2
DIVONNE-LES-BAINS;1143;1;AIN;Zone 3;C2;1
DOMMARTIN;1144;1;AIN;Zone 2;A2;2
DOMPIERRE-SUR-VEYLE;1145;1;AIN;Zone 3;A2;1
DOMPIERRE-SUR-CHALARONNE;1146;1;AIN;Zone 2;A2;2
DOMSURE;1147;1;AIN;Zone 3;A2;2
DORTAN;1148;1;AIN;Zone 3;C2;1
DOUVRES;1149;1;AIN;Zone 3;C2;1
DROM;1150;1;AIN;Zone 3;C2;1
DRUILLAT;1151;1;AIN;Zone 3;A2;1
ECHALLON;1152;1;AIN;Zone 3;C2;1
ECHENEVEX;1153;1;AIN;Zone 3;C2;1
ETREZ;1154;1;AIN;Zone 2;A2;2
EVOSGES;1155;1;AIN;Zone 3;C2;1
FARAMANS;1156;1;AIN;Zone 3;A2;2
FAREINS;1157;1;AIN;Zone 2;A2;2
FARGES;1158;1;AIN;Zone 3;C2;1
FEILLENS;1159;1;AIN;Zone 2;A2;2
FERNEY-VOLTAIRE;1160;1;AIN;Zone 3;C2;1
FLAXIEU;1162;1;AIN;Zone 3;C2;1
FOISSIAT;1163;1;AIN;Zone 2;A2;2
FRANCHELEINS;1165;1;AIN;Zone 2;A2;2
FRANS;1166;1;AIN;Zone 2;A2;2
GARNERANS;1167;1;AIN;Zone 2;A2;2
GENOUILLEUX;1169;1;AIN;Zone 2;A2;2
BEARD-GEOVREISSIAT;1170;1;AIN;Zone 3;C2;1
GEOVREISSET;1171;1;AIN;Zone 3;C2;1
GERMAGNAT;1172;1;AIN;Zone 3;C2;1
GEX;1173;1;AIN;Zone 3;C2;1
GIRON;1174;1;AIN;Zone 3;C2;1
GORREVOD;1175;1;AIN;Zone 2;A2;2
LE GRAND-ABERGEMENT;1176;1;AIN;Zone 3;C2;1
GRAND-CORENT;1177;1;AIN;Zone 3;C2;1
GRIEGES;1179;1;AIN;Zone 2;A2;2
GRILLY;1180;1;AIN;Zone 3;C2;1
GROISSIAT;1181;1;AIN;Zone 3;C2;1
GROSLEE;1182;1;AIN;Zone 3;C2;1
GUEREINS;1183;1;AIN;Zone 2;A2;2
HAUTECOURT-ROMANECHE;1184;1;AIN;Zone 3;C2;1
HAUTEVILLE-LOMPNES;1185;1;AIN;Zone 3;C2;1
HOSTIAZ;1186;1;AIN;Zone 3;C2;1
HOTONNES;1187;1;AIN;Zone 3;C2;1
ILLIAT;1188;1;AIN;Zone 2;A2;2
INJOUX-GENISSIAT;1189;1;AIN;Zone 3;C2;1
INNIMOND;1190;1;AIN;Zone 3;C2;1
IZENAVE;1191;1;AIN;Zone 3;C2;1
IZERNORE;1192;1;AIN;Zone 3;C2;1
IZIEU;1193;1;AIN;Zone 3;C2;1
JASSANS-RIOTTIER;1194;1;AIN;Zone 2;A2;2
JASSERON;1195;1;AIN;Zone 3;C2;1
JAYAT;1196;1;AIN;Zone 2;A2;2
JOURNANS;1197;1;AIN;Zone 3;A2;1
JOYEUX;1198;1;AIN;Zone 3;A2;2
JUJURIEUX;1199;1;AIN;Zone 3;C2;1
LABALME;1200;1;AIN;Zone 3;C2;1
LAGNIEU;1202;1;AIN;Zone 3;C2;1
LAIZ;1203;1;AIN;Zone 2;A2;2
LALLEYRIAT;1204;1;AIN;Zone 3;C2;1
LANCRANS;1205;1;AIN;Zone 3;C2;1
LANTENAY;1206;1;AIN;Zone 3;C2;1
LAPEYROUSE;1207;1;AIN;Zone 2;A2;2
LAVOURS;1208;1;AIN;Zone 3;C2;1
LEAZ;1209;1;AIN;Zone 3;C2;1
LELEX;1210;1;AIN;Zone 3;C2;1
LENT;1211;1;AIN;Zone 3;A2;1
LESCHEROUX;1212;1;AIN;Zone 2;A2;2
LEYMENT;1213;1;AIN;Zone 3;C2;1
LEYSSARD;1214;1;AIN;Zone 3;C2;1
LHOPITAL;1215;1;AIN;Zone 3;C2;1
LHUIS;1216;1;AIN;Zone 3;C2;1
LOCHIEU;1218;1;AIN;Zone 3;C2;1
LOMPNAS;1219;1;AIN;Zone 3;C2;1
LOMPNIEU;1221;1;AIN;Zone 3;C2;1
LOYETTES;1224;1;AIN;Zone 3;C2;1
LURCY;1225;1;AIN;Zone 2;A2;2
MAGNIEU;1227;1;AIN;Zone 3;C2;1
MAILLAT;1228;1;AIN;Zone 3;C2;1
MALAFRETAZ;1229;1;AIN;Zone 2;A2;2
MANTENAY-MONTLIN;1230;1;AIN;Zone 2;A2;2
MANZIAT;1231;1;AIN;Zone 2;A2;2
MARBOZ;1232;1;AIN;Zone 3;A2;2
MARCHAMP;1233;1;AIN;Zone 3;C2;1
MARIGNIEU;1234;1;AIN;Zone 3;C2;1
MARLIEUX;1235;1;AIN;Zone 2;A2;2
MARSONNAS;1236;1;AIN;Zone 2;A2;2
MARTIGNAT;1237;1;AIN;Zone 3;C2;1
MASSIEUX;1238;1;AIN;Zone 2;A2;2
MASSIGNIEU-DE-RIVES;1239;1;AIN;Zone 4;C2;1
MATAFELON-GRANGES;1240;1;AIN;Zone 3;C2;1
MEILLONNAS;1241;1;AIN;Zone 3;C2;1
MERIGNAT;1242;1;AIN;Zone 3;C2;1
MESSIMY-SUR-SAONE;1243;1;AIN;Zone 2;C2;2
MEXIMIEUX;1244;1;AIN;Zone 3;A2;2
BOHAS-MEYRIAT-RIGNAT;1245;1;AIN;Zone 3;C2;1
MEZERIAT;1246;1;AIN;Zone 2;A2;2
MIJOUX;1247;1;AIN;Zone 3;C2;1
MIONNAY;1248;1;AIN;Zone 2;A2;2
MIRIBEL;1249;1;AIN;Zone 2;A2;2
MISERIEUX;1250;1;AIN;Zone 2;A2;2
MOGNENEINS;1252;1;AIN;Zone 2;C2;2
MONTAGNAT;1254;1;AIN;Zone 3;A2;1
MONTAGNIEU;1255;1;AIN;Zone 3;C2;1
MONTANGES;1257;1;AIN;Zone 3;C2;1
MONTCEAUX;1258;1;AIN;Zone 2;A2;2
MONTCET;1259;1;AIN;Zone 2;A2;1
LE MONTELLIER;1260;1;AIN;Zone 2;A2;2
MONTHIEUX;1261;1;AIN;Zone 2;A2;2
MONTLUEL;1262;1;AIN;Zone 2;A2;2
MONTMERLE-SUR-SAONE;1263;1;AIN;Zone 2;A2;2
MONTRACOL;1264;1;AIN;Zone 2;A2;1
MONTREAL-LA-CLUSE;1265;1;AIN;Zone 3;C2;1
MONTREVEL-EN-BRESSE;1266;1;AIN;Zone 2;A2;2
NURIEUX-VOLOGNAT;1267;1;AIN;Zone 3;C2;1
MURS-ET-GELIGNIEUX;1268;1;AIN;Zone 4;C2;1
NANTUA;1269;1;AIN;Zone 3;C2;1
NATTAGES;1271;1;AIN;Zone 4;C2;1
NEUVILLE-LES-DAMES;1272;1;AIN;Zone 2;A2;2
NEUVILLE-SUR-AIN;1273;1;AIN;Zone 3;A2;1
LES NEYROLLES;1274;1;AIN;Zone 3;C2;1
NEYRON;1275;1;AIN;Zone 2;A2;2
NIEVROZ;1276;1;AIN;Zone 3;A2;2
NIVOLLET-MONTGRIFFON;1277;1;AIN;Zone 3;C2;1
ONCIEU;1279;1;AIN;Zone 3;C2;1
ORDONNAZ;1280;1;AIN;Zone 3;C2;1
ORNEX;1281;1;AIN;Zone 3;C2;1
OUTRIAZ;1282;1;AIN;Zone 3;C2;1
OYONNAX;1283;1;AIN;Zone 3;C2;1
OZAN;1284;1;AIN;Zone 2;A2;2
PARCIEUX;1285;1;AIN;Zone 2;A2;2
PARVES;1286;1;AIN;Zone 4;C2;1
PERON;1288;1;AIN;Zone 3;C2;1
PERONNAS;1289;1;AIN;Zone 3;A2;1
PEROUGES;1290;1;AIN;Zone 3;A2;2
PERREX;1291;1;AIN;Zone 2;A2;2
LE PETIT-ABERGEMENT;1292;1;AIN;Zone 3;C2;1
PEYRIAT;1293;1;AIN;Zone 3;C2;1
PEYRIEU;1294;1;AIN;Zone 4;C2;1
PEYZIEUX-SUR-SAONE;1295;1;AIN;Zone 2;A2;2
PIRAJOUX;1296;1;AIN;Zone 3;A2;2
PIZAY;1297;1;AIN;Zone 3;A2;2
PLAGNE;1298;1;AIN;Zone 3;C2;1
LE PLANTAY;1299;1;AIN;Zone 2;A2;2
LE POIZAT;1300;1;AIN;Zone 3;C2;1
POLLIAT;1301;1;AIN;Zone 2;A2;1
POLLIEU;1302;1;AIN;Zone 3;C2;1
PONCIN;1303;1;AIN;Zone 3;C2;1
PONT-D'AIN;1304;1;AIN;Zone 3;A2;1
PONT-DE-VAUX;1305;1;AIN;Zone 2;A2;2
PONT-DE-VEYLE;1306;1;AIN;Zone 2;A2;2
PORT;1307;1;AIN;Zone 3;C2;1
POUGNY;1308;1;AIN;Zone 3;C2;1
POUILLAT;1309;1;AIN;Zone 3;C2;1
PREMEYZEL;1310;1;AIN;Zone 3;C2;1
PREMILLIEU;1311;1;AIN;Zone 3;C2;1
PRESSIAT;1312;1;AIN;Zone 3;C2;1
PREVESSIN-MOENS;1313;1;AIN;Zone 3;C2;1
PRIAY;1314;1;AIN;Zone 3;A2;1
PUGIEU;1316;1;AIN;Zone 3;C2;1
RAMASSE;1317;1;AIN;Zone 3;C2;1
RANCE;1318;1;AIN;Zone 2;A2;2
RELEVANT;1319;1;AIN;Zone 2;A2;2
REPLONGES;1320;1;AIN;Zone 2;A2;2
REVONNAS;1321;1;AIN;Zone 3;C2;1
REYRIEUX;1322;1;AIN;Zone 2;A2;2
REYSSOUZE;1323;1;AIN;Zone 2;A2;2
RIGNIEUX-LE-FRANC;1325;1;AIN;Zone 3;A2;2
ROMANS;1328;1;AIN;Zone 2;A2;2
ROSSILLON;1329;1;AIN;Zone 3;C2;1
RUFFIEU;1330;1;AIN;Zone 3;C2;1
SAINT-ALBAN;1331;1;AIN;Zone 3;C2;1
SAINT-ANDRE-DE-BAGE;1332;1;AIN;Zone 2;A2;2
SAINT-ANDRE-DE-CORCY;1333;1;AIN;Zone 2;A2;2
SAINT-ANDRE-D'HUIRIAT;1334;1;AIN;Zone 2;A2;2
SAINT-ANDRE-LE-BOUCHOUX;1335;1;AIN;Zone 2;A2;2
SAINT-ANDRE-SUR-VIEUX-JONC;1336;1;AIN;Zone 2;A2;1
SAINT-BENIGNE;1337;1;AIN;Zone 2;A2;2
SAINT-BENOIT;1338;1;AIN;Zone 3;C2;1
SAINT-BERNARD;1339;1;AIN;Zone 2;A2;2
SAINT-BOIS;1340;1;AIN;Zone 3;C2;1
SAINT-CHAMP;1341;1;AIN;Zone 3;C2;1
SAINTE-CROIX;1342;1;AIN;Zone 2;A2;2
SAINT-CYR-SUR-MENTHON;1343;1;AIN;Zone 2;A2;2
SAINT-DENIS-LES-BOURG;1344;1;AIN;Zone 2;A2;1
SAINT-DENIS-EN-BUGEY;1345;1;AIN;Zone 3;C2;1
SAINT-DIDIER-D'AUSSIAT;1346;1;AIN;Zone 2;A2;2
SAINT-DIDIER-DE-FORMANS;1347;1;AIN;Zone 2;A2;2
SAINT-DIDIER-SUR-CHALARONNE;1348;1;AIN;Zone 2;A2;2
SAINT-ELOI;1349;1;AIN;Zone 3;A2;2
SAINT-ETIENNE-DU-BOIS;1350;1;AIN;Zone 3;C2;1
SAINT-ETIENNE-SUR-CHALARONNE;1351;1;AIN;Zone 2;A2;2
SAINT-ETIENNE-SUR-REYSSOUZE;1352;1;AIN;Zone 2;A2;2
SAINTE-EUPHEMIE;1353;1;AIN;Zone 2;A2;2
SAINT-GENIS-POUILLY;1354;1;AIN;Zone 3;C2;1
SAINT-GENIS-SUR-MENTHON;1355;1;AIN;Zone 2;A2;2
SAINT-GEORGES-SUR-RENON;1356;1;AIN;Zone 2;A2;2
SAINT-GERMAIN-DE-JOUX;1357;1;AIN;Zone 3;C2;1
SAINT-GERMAIN-LES-PAROISSES;1358;1;AIN;Zone 3;C2;1
SAINT-GERMAIN-SUR-RENON;1359;1;AIN;Zone 2;A2;2
SAINT-JEAN-DE-GONVILLE;1360;1;AIN;Zone 3;C2;1
SAINT-JEAN-DE-NIOST;1361;1;AIN;Zone 3;A2;2
SAINT-JEAN-DE-THURIGNEUX;1362;1;AIN;Zone 2;A2;2
SAINT-JEAN-LE-VIEUX;1363;1;AIN;Zone 3;C2;1
SAINT-JEAN-SUR-REYSSOUZE;1364;1;AIN;Zone 2;A2;2
SAINT-JEAN-SUR-VEYLE;1365;1;AIN;Zone 2;C2;2
SAINTE-JULIE;1366;1;AIN;Zone 3;C2;1
SAINT-JULIEN-SUR-REYSSOUZE;1367;1;AIN;Zone 2;C2;2
SAINT-JULIEN-SUR-VEYLE;1368;1;AIN;Zone 2;A2;2
SAINT-JUST;1369;1;AIN;Zone 3;A2;1
SAINT-LAURENT-SUR-SAONE;1370;1;AIN;Zone 2;A2;2
SAINT-MARCEL;1371;1;AIN;Zone 2;A2;2
SAINT-MARTIN-DE-BAVEL;1372;1;AIN;Zone 3;C2;1
SAINT-MARTIN-DU-FRENE;1373;1;AIN;Zone 3;C2;1
SAINT-MARTIN-DU-MONT;1374;1;AIN;Zone 3;A2;1
SAINT-MARTIN-LE-CHATEL;1375;1;AIN;Zone 2;A2;2
SAINT-MAURICE-DE-BEYNOST;1376;1;AIN;Zone 2;A2;2
SAINT-MAURICE-DE-GOURDANS;1378;1;AIN;Zone 3;A2;2
SAINT-MAURICE-DE-REMENS;1379;1;AIN;Zone 3;C2;1
SAINT-NIZIER-LE-BOUCHOUX;1380;1;AIN;Zone 2;A2;2
SAINT-NIZIER-LE-DESERT;1381;1;AIN;Zone 3;A2;2
SAINTE-OLIVE;1382;1;AIN;Zone 2;A2;2
SAINT-PAUL-DE-VARAX;1383;1;AIN;Zone 2;A2;2
SAINT-RAMBERT-EN-BUGEY;1384;1;AIN;Zone 3;C2;1
SAINT-REMY;1385;1;AIN;Zone 2;A2;1
SAINT-SORLIN-EN-BUGEY;1386;1;AIN;Zone 3;C2;1
SAINT-SULPICE;1387;1;AIN;Zone 2;A2;2
SAINT-TRIVIER-DE-COURTES;1388;1;AIN;Zone 2;A2;2
SAINT-TRIVIER-SUR-MOIGNANS;1389;1;AIN;Zone 2;A2;2
SAINT-VULBAS;1390;1;AIN;Zone 3;C2;1
SALAVRE;1391;1;AIN;Zone 3;A2;2
SAMOGNAT;1392;1;AIN;Zone 3;C2;1
SANDRANS;1393;1;AIN;Zone 2;A2;2
SAULT-BRENAZ;1396;1;AIN;Zone 3;C2;1
SAUVERNY;1397;1;AIN;Zone 3;C2;1
SAVIGNEUX;1398;1;AIN;Zone 2;A2;2
SEGNY;1399;1;AIN;Zone 3;C2;1
SEILLONNAZ;1400;1;AIN;Zone 3;C2;1
SERGY;1401;1;AIN;Zone 3;C2;1
SERMOYER;1402;1;AIN;Zone 2;C2;2
SERRIERES-DE-BRIORD;1403;1;AIN;Zone 3;C2;1
SERRIERES-SUR-AIN;1404;1;AIN;Zone 3;C2;1
SERVAS;1405;1;AIN;Zone 3;A2;1
SERVIGNAT;1406;1;AIN;Zone 2;A2;2
SEYSSEL;1407;1;AIN;Zone 3;C2;1
SIMANDRE-SUR-SURAN;1408;1;AIN;Zone 3;C2;1
SONGIEU;1409;1;AIN;Zone 3;C2;1
SONTHONNAX-LA-MONTAGNE;1410;1;AIN;Zone 3;C2;1
SOUCLIN;1411;1;AIN;Zone 3;C2;1
SULIGNAT;1412;1;AIN;Zone 2;A2;2
SURJOUX;1413;1;AIN;Zone 3;C2;1
SUTRIEU;1414;1;AIN;Zone 3;C2;1
TALISSIEU;1415;1;AIN;Zone 3;C2;1
TENAY;1416;1;AIN;Zone 3;C2;1
THEZILLIEU;1417;1;AIN;Zone 3;C2;1
THIL;1418;1;AIN;Zone 2;A2;2
THOIRY;1419;1;AIN;Zone 3;C2;1
THOISSEY;1420;1;AIN;Zone 2;A2;2
TORCIEU;1421;1;AIN;Zone 3;C2;1
TOSSIAT;1422;1;AIN;Zone 3;A2;1
TOUSSIEUX;1423;1;AIN;Zone 2;A2;2
TRAMOYES;1424;1;AIN;Zone 2;A2;2
LA TRANCLIERE;1425;1;AIN;Zone 3;A2;1
TREFFORT-CUISIAT;1426;1;AIN;Zone 3;C2;1
TREVOUX;1427;1;AIN;Zone 2;A2;2
VALEINS;1428;1;AIN;Zone 2;A2;2
VANDEINS;1429;1;AIN;Zone 2;A2;1
VARAMBON;1430;1;AIN;Zone 3;C2;1
VAUX-EN-BUGEY;1431;1;AIN;Zone 3;C2;1
VERJON;1432;1;AIN;Zone 3;C2;2
VERNOUX;1433;1;AIN;Zone 2;A2;2
VERSAILLEUX;1434;1;AIN;Zone 3;A2;2
VERSONNEX;1435;1;AIN;Zone 3;C2;1
VESANCY;1436;1;AIN;Zone 3;C2;1
VESCOURS;1437;1;AIN;Zone 2;A2;2
VESINES;1439;1;AIN;Zone 2;A2;2
VIEU-D'IZENAVE;1441;1;AIN;Zone 3;C2;1
VIEU;1442;1;AIN;Zone 3;C2;1
VILLARS-LES-DOMBES;1443;1;AIN;Zone 2;A2;2
VILLEBOIS;1444;1;AIN;Zone 3;C2;1
VILLEMOTIER;1445;1;AIN;Zone 3;A2;2
VILLENEUVE;1446;1;AIN;Zone 2;A2;2
VILLEREVERSURE;1447;1;AIN;Zone 3;C2;1
VILLES;1448;1;AIN;Zone 3;C2;1
VILLETTE-SUR-AIN;1449;1;AIN;Zone 3;A2;2
VILLIEU-LOYES-MOLLON;1450;1;AIN;Zone 3;A2;2
VIRIAT;1451;1;AIN;Zone 3;A2;1
VIRIEU-LE-GRAND;1452;1;AIN;Zone 3;C2;1
VIRIEU-LE-PETIT;1453;1;AIN;Zone 3;C2;1
VIRIGNIN;1454;1;AIN;Zone 3;C2;1
VONGNES;1456;1;AIN;Zone 3;C2;1
VONNAS;1457;1;AIN;Zone 2;A2;2
ABBECOURT;2001;2;AISNE;Zone 1;A1;2
ACHERY;2002;2;AISNE;Zone 1;A1;2
ACY;2003;2;AISNE;Zone 1;A1;2
AGNICOURT-ET-SECHELLES;2004;2;AISNE;Zone 1;A1;2
AGUILCOURT;2005;2;AISNE;Zone 1;A1;2
AISONVILLE-ET-BERNOVILLE;2006;2;AISNE;Zone 2;A1;2
AIZELLES;2007;2;AISNE;Zone 1;A1;2
AIZY-JOUY;2008;2;AISNE;Zone 1;A1;2
ALAINCOURT;2009;2;AISNE;Zone 1;A1;2
ALLEMANT;2010;2;AISNE;Zone 1;A1;2
AMBLENY;2011;2;AISNE;Zone 1;A1;2
AMBRIEF;2012;2;AISNE;Zone 1;A1;2
AMIFONTAINE;2013;2;AISNE;Zone 1;A1;2
AMIGNY-ROUY;2014;2;AISNE;Zone 1;A1;2
ANCIENVILLE;2015;2;AISNE;Zone 1;A1;2
ANDELAIN;2016;2;AISNE;Zone 1;A1;2
ANGUILCOURT-LE-SART;2017;2;AISNE;Zone 1;A1;2
ANIZY-LE-CHATEAU;2018;2;AISNE;Zone 1;A1;2
ANNOIS;2019;2;AISNE;Zone 1;A1;2
ANY-MARTIN-RIEUX;2020;2;AISNE;Zone 2;C1;2
ARCHON;2021;2;AISNE;Zone 1;A1;2
ARCY-SAINTE-RESTITUE;2022;2;AISNE;Zone 1;A1;2
ARMENTIERES-SUR-OURCQ;2023;2;AISNE;Zone 1;A1;2
ARRANCY;2024;2;AISNE;Zone 1;A1;2
ARTEMPS;2025;2;AISNE;Zone 1;A1;2
ARTONGES;2026;2;AISNE;Zone 1;A1;2
ASSIS-SUR-SERRE;2027;2;AISNE;Zone 1;A1;2
ATHIES-SOUS-LAON;2028;2;AISNE;Zone 1;A1;2
ATTILLY;2029;2;AISNE;Zone 1;A1;2
AUBENCHEUL-AUX-BOIS;2030;2;AISNE;Zone 2;A1;2
AUBENTON;2031;2;AISNE;Zone 2;C1;2
AUBIGNY-AUX-KAISNES;2032;2;AISNE;Zone 1;A1;2
AUBIGNY-EN-LAONNOIS;2033;2;AISNE;Zone 1;A1;2
AUDIGNICOURT;2034;2;AISNE;Zone 1;A1;2
AUDIGNY;2035;2;AISNE;Zone 1;A1;2
AUGY;2036;2;AISNE;Zone 1;A1;2
